Município;Setor;Porte;Empresas;Empregados;;Fonte dos dados: RAIS (2019)
Abdon Batista;SERVIÇOS;Grande;1;199;;
Abdon Batista;AGROPECUÁRIA;Micro;4;9;;
Abdon Batista;INDÚSTRIA;Micro;9;24;;
Abdon Batista;INDÚSTRIA;Micro;4;10;;
Abdon Batista;COMÉRCIO;Micro;38;78;;
Abdon Batista;TRANSPORTE;Micro;3;8;;
Abdon Batista;SERVIÇOS;Micro;3;6;;
Abdon Batista;SERVIÇOS;Micro;2;7;;
Abdon Batista;SERVIÇOS;Micro;1;4;;
Abdon Batista;SERVIÇOS;Micro;4;7;;
Abdon Batista;SERVIÇOS;Micro;2;3;;
Abdon Batista;SERVIÇOS;Micro;1;4;;
Abdon Batista;SERVIÇOS;Micro;1;1;;
Abdon Batista;SERVIÇOS;Micro;2;2;;
Abdon Batista;SERVIÇOS;Micro;6;12;;
Abdon Batista;INDÚSTRIA;Pequena;1;27;;
Abdon Batista;COMÉRCIO;Pequena;2;23;;
Abdon Batista;TRANSPORTE;Pequena;1;14;;
Abdon Batista;SERVIÇOS;Pequena;1;54;;
Abelardo Luz;INDÚSTRIA;Grande;1;1461;;
Abelardo Luz;SERVIÇOS;Grande;1;590;;
Abelardo Luz;AGROPECUÁRIA;Média;1;65;;
Abelardo Luz;COMÉRCIO;Média;2;139;;
Abelardo Luz;SERVIÇOS;Média;1;92;;
Abelardo Luz;AGROPECUÁRIA;Micro;101;130;;
Abelardo Luz;INDÚSTRIA;Micro;2;15;;
Abelardo Luz;INDÚSTRIA;Micro;29;117;;
Abelardo Luz;INDÚSTRIA;Micro;3;6;;
Abelardo Luz;INDÚSTRIA;Micro;2;10;;
Abelardo Luz;INDÚSTRIA;Micro;18;61;;
Abelardo Luz;COMÉRCIO;Micro;145;305;;
Abelardo Luz;TRANSPORTE;Micro;49;48;;
Abelardo Luz;SERVIÇOS;Micro;15;29;;
Abelardo Luz;SERVIÇOS;Micro;7;32;;
Abelardo Luz;SERVIÇOS;Micro;5;30;;
Abelardo Luz;SERVIÇOS;Micro;3;3;;
Abelardo Luz;SERVIÇOS;Micro;15;33;;
Abelardo Luz;SERVIÇOS;Micro;15;23;;
Abelardo Luz;SERVIÇOS;Micro;5;15;;
Abelardo Luz;SERVIÇOS;Micro;16;22;;
Abelardo Luz;SERVIÇOS;Micro;4;10;;
Abelardo Luz;SERVIÇOS;Micro;18;29;;
Abelardo Luz;AGROPECUÁRIA;Pequena;4;73;;
Abelardo Luz;INDÚSTRIA;Pequena;3;71;;
Abelardo Luz;INDÚSTRIA;Pequena;2;93;;
Abelardo Luz;COMÉRCIO;Pequena;11;196;;
Abelardo Luz;TRANSPORTE;Pequena;2;29;;
Abelardo Luz;SERVIÇOS;Pequena;2;47;;
Abelardo Luz;SERVIÇOS;Pequena;2;22;;
Abelardo Luz;SERVIÇOS;Pequena;1;11;;
Abelardo Luz;SERVIÇOS;Pequena;2;10;;
Abelardo Luz;SERVIÇOS;Pequena;1;10;;
Abelardo Luz;SERVIÇOS;Pequena;1;18;;
Abelardo Luz;SERVIÇOS;Pequena;2;37;;
Abelardo Luz;SERVIÇOS;Pequena;1;13;;
Agrolândia;SERVIÇOS;Grande;1;268;;
Agrolândia;INDÚSTRIA;Média;2;448;;
Agrolândia;AGROPECUÁRIA;Micro;16;33;;
Agrolândia;INDÚSTRIA;Micro;106;512;;
Agrolândia;INDÚSTRIA;Micro;1;1;;
Agrolândia;INDÚSTRIA;Micro;1;7;;
Agrolândia;INDÚSTRIA;Micro;6;14;;
Agrolândia;COMÉRCIO;Micro;98;206;;
