municipio,vice_presidencia
Abdon Batista,Centro-Oeste
Abelardo Luz,Oeste
Agrolândia,Alto Vale do Itajaí
Agronômica,Alto Vale do Itajaí
Água Doce,Centro-Oeste
Águas de Chapecó,Oeste
Águas Frias,Oeste
Águas Mornas,Sudeste
Alfredo Wagner,Sudeste
Alto Bela Vista,Alto Uruguai Catarinense
Anchieta,Extremo Oeste
Angelina,Sudeste
Anita Garibaldi,Serra Catarinense
Anitápolis,Sudeste
Antônio Carlos,Sudeste
Apiúna,Vale do Itajaí
Arabutã,Alto Uruguai Catarinense
Araquari,Norte-Nordeste
Araranguá,Sul
Armazém,Litoral Sul
Arroio Trinta,Centro-Norte
Arvoredo,Alto Uruguai Catarinense
Ascurra,Vale do Itajaí
Atalanta,Alto Vale do Itajaí
Aurora,Alto Vale do Itajaí
Balneário Arroio do Silva,Sul
Balneário Barra do Sul,Norte-Nordeste
Balneário Camboriú,Foz do Rio Itajaí
Balneário Gaivota,Sul
Balneário Piçarras,Foz do Rio Itajaí
Balneário Rincão,Sul
Bandeirante,Extremo Oeste
Barra Bonita,Extremo Oeste
Barra Velha,Vale do Itapocu
Bela Vista do Toldo,Centro-Norte
Belmonte,Extremo Oeste
Benedito Novo,Vale do Itajaí
Biguaçu,Sudeste
Blumenau,Vale do Itajaí
Bocaina do Sul,Serra Catarinense
Bom Jardim da Serra,Serra Catarinense
Bom Jesus,Oeste
Bom Jesus do Oeste,Oeste
Bom Retiro,Serra Catarinense
Bombinhas,Foz do Rio Itajaí
Botuverá,Vale do Itajaí Mirim
Braço do Norte,Litoral Sul
Braço do Trombudo,Alto Vale do Itajaí
Brunópolis,Centro-Oeste
Brusque,Vale do Itajaí Mirim
Caçador,Centro-Norte
Caibi,Oeste
Calmon,Centro-Norte
Camboriú,Foz do Rio Itajaí
Campo Alegre,Planalto Norte
Campo Belo do Sul,Serra Catarinense
Campo Erê,Oeste
Campos Novos,Centro-Oeste
Canelinha,Sudeste
Canoinhas,Centro-Norte
Capão Alto,Serra Catarinense
Capinzal,Centro-Oeste
Capivari de Baixo,Litoral Sul
Catanduvas,Centro-Oeste
Caxambu do Sul,Oeste
Celso Ramos,Serra Catarinense
Cerro Negro,Serra Catarinense
Chapadão do Lageado,Alto Vale do Itajaí
Chapecó,Oeste
Cocal do Sul,Sul
Concórdia,Alto Uruguai Catarinense
Cordilheira Alta,Oeste
Coronel Freitas,Oeste
Coronel Martins,Oeste
Correia Pinto,Serra Catarinense
Corupá,Vale do Itapocu
Criciúma,Sul
Cunha Porã,Oeste
Cunhataí,Oeste
Curitibanos,Centro-Norte
Descanso,Extremo Oeste
Dionísio Cerqueira,Extremo Oeste
Dona Emma,Alto Vale do Itajaí
Doutor Pedrinho,Vale do Itajaí
Entre Rios,Oeste
Ermo,Sul
Erval Velho,Centro-Oeste
Faxinal dos Guedes,Oeste
Flor do Sertão,Oeste
Florianópolis,Sudeste
Formosa do Sul,Oeste
Forquilhinha,Sul
Fraiburgo,Centro-Norte
Frei Rogério,Centro-Norte
Galvão,Oeste
Garopaba,Sudeste
Garuva,Norte-Nordeste
Gaspar,Vale do Itajaí
Governador Celso Ramos,Sudeste
Grão Pará,Litoral Sul
Gravatal,Litoral Sul
Guabiruba,Vale do Itajaí Mirim
Guaraciaba,Extremo Oeste
Guaramirim,Vale do Itapocu
Guarujá do Sul,Extremo Oeste
Guatambú,Oeste
Herval d'Oeste,Centro-Oeste
Ibiam,Centro-Oeste
Ibicaré,Centro-Oeste
Ibirama,Alto Vale do Itajaí
Içara,Sul
Ilhota,Foz do Rio Itajaí
Imaruí,Litoral Sul
Imbituba,Litoral Sul
Imbuia,Vale do Itajaí Mirim
Indaial,Vale do Itajaí
Iomerê,Centro-Norte
Ipira,Alto Uruguai Catarinense
Iporã do Oeste,Extremo Oeste
Ipuaçu,Oeste
Ipumirim,Alto Uruguai Catarinense
Iraceminha,Oeste
Irani,Alto Uruguai Catarinense
Irati,Oeste
Irineópolis,Centro-Norte
Itá,Alto Uruguai Catarinense
Itaiópolis,Planalto Norte
Itajaí,Foz do Rio Itajaí
Itapema,Foz do Rio Itajaí
Itapiranga,Extremo Oeste
Itapoá,Norte-Nordeste
Ituporanga,Alto Vale do Itajaí
Jaborá,Alto Uruguai Catarinense
Jacinto Machado,Sul
Jaguaruna,Litoral Sul
Jaraguá do Sul,Vale do Itapocu
Jardinópolis,Oeste
Joaçaba,Centro-Oeste
Joinville,Norte-Nordeste
José Boiteux,Alto Vale do Itajaí
Jupiá,Oeste
Lacerdópolis,Centro-Oeste
Lages,Serra Catarinense
Laguna,Litoral Sul
Lajeado Grande,Oeste
Laurentino,Alto Vale do Itajaí
Lauro Muller,Sul
Lebon Régis,Centro-Norte
Leoberto Leal,Vale do Itajaí Mirim
Lindóia do Sul,Alto Uruguai Catarinense
Lontras,Alto Vale do Itajaí
Luiz Alves,Foz do Rio Itajaí
Luzerna,Centro-Oeste
Macieira,Centro-Norte
Mafra,Planalto Norte
Major Gercino,Vale do Itajaí Mirim
Major Vieira,Centro-Norte
Maracajá,Sul
Maravilha,Oeste
Marema,Oeste
Massaranduba,Vale do Itapocu
Matos Costa,Centro-Norte
Meleiro,Sul
Mirim Doce,Alto Vale do Itajaí
Modelo,Oeste
Mondaí,Extremo Oeste
Monte Carlo,Centro-Oeste
Monte Castelo,Planalto Norte
Morro da Fumaça,Sul
Morro Grande,Sul
Navegantes,Foz do Rio Itajaí
Nova Erechim,Oeste
Nova Itaberaba,Oeste
Nova Trento,Vale do Itajaí Mirim
Nova Veneza,Sul
Novo Horizonte,Oeste
Orleans,Sul
Otacílio Costa,Serra Catarinense
Ouro,Centro-Oeste
Ouro Verde,Oeste
Paial,Alto Uruguai Catarinense
Painel,Serra Catarinense
Palhoça,Sudeste
Palma Sola,Extremo Oeste
Palmeira,Serra Catarinense
Palmitos,Oeste
Papanduva,Planalto Norte
Paraíso,Extremo Oeste
Passo de Torres,Sul
Passos Maia,Oeste
Paulo Lopes,Sudeste
Pedras Grandes,Litoral Sul
Penha,Foz do Rio Itajaí
Peritiba,Alto Uruguai Catarinense
Pescaria Brava,Litoral Sul
Petrolândia,Alto Vale do Itajaí
Pinhalzinho,Oeste
Pinheiro Preto,Centro-Norte
Piratuba,Alto Uruguai Catarinense
Planalto Alegre,Oeste
Pomerode,Vale do Itajaí
Ponte Alta,Serra Catarinense
Ponte Alta do Norte,Centro-Norte
Ponte Serrada,Oeste
Porto Belo,Foz do Rio Itajaí
Porto União,Centro-Norte
Pouso Redondo,Alto Vale do Itajaí
Praia Grande,Sul
Presidente Castello Branco,Alto Uruguai Catarinense
Presidente Getúlio,Alto Vale do Itajaí
Presidente Nereu,Vale do Itajaí Mirim
Princesa,Extremo Oeste
Quilombo,Oeste
Rancho Queimado,Sudeste
Rio das Antas,Centro-Norte
Rio do Campo,Alto Vale do Itajaí
Rio do Oeste,Alto Vale do Itajaí
Rio do Sul,Alto Vale do Itajaí
Rio dos Cedros,Vale do Itajaí
Rio Fortuna,Litoral Sul
Rio Negrinho,Planalto Norte
Rio Rufino,Serra Catarinense
Riqueza,Oeste
Rodeio,Vale do Itajaí
Romelândia,Oeste
Salete,Alto Vale do Itajaí
Saltinho,Oeste
Salto Veloso,Centro-Norte
Sangão,Litoral Sul
Santa Cecília,Centro-Norte
Santa Helena,Extremo Oeste
Santa Rosa de Lima,Litoral Sul
Santa Rosa do Sul,Sul
Santa Terezinha,Alto Vale do Itajaí
Santa Terezinha do Progresso,Oeste
Santiago do Sul,Oeste
Santo Amaro da Imperatriz,Sudeste
São Bento do Sul,Planalto Norte
São Bernardino,Oeste
São Bonifácio,Sudeste
São Carlos,Oeste
São Cristovão do Sul,Centro-Norte
São Domingos,Oeste
