Município,pib,pib_per_capita,populacaoFonte dos dados: IBGE (2018)
Abdon Batista,R$ 63182000,24517.6561893675,2577
Abelardo Luz,R$ 697968000,39108.4215834594,17847
Agrolândia,R$ 248754000,23224.1620763701,10711
Agronômica,R$ 158292000,29394.9860724234,5385
Água Doce,R$ 310517000,43501.9613337069,7138
Águas de Chapecó,R$ 103559000,16043.2223082881,6455
Águas Frias,R$ 98762000,41531.5391084945,2378
Águas Mornas,R$ 164491000,25790.3731577297,6378
Alfredo Wagner,R$ 259522000,25993.7900641026,9984
Alto Bela Vista,R$ 55910000,28701.2320328542,1948
Anchieta,R$ 134503000,23510.4002796714,5721
Angelina,R$ 112094000,23064.6090534979,4860
Anita Garibaldi,R$ 145956000,19958.4301928073,7313
Anitápolis,R$ 57078000,17638.4425216316,3236
Antônio Carlos,R$ 656109000,78006.0634882891,8411
Apiúna,R$ 415532000,39068.4467845055,10636
Arabutã,R$ 137614000,32258.321612752,4266
Araquari,R$ 4151191000,113080.659220921,36710
Araranguá,R$ 1833576000,27132.7355056379,67578
Armazém,R$ 190726000,22211.0166530802,8587
Arroio Trinta,R$ 89322000,25154.0411151788,3551
Arvoredo,R$ 100363000,44685.2181656278,2246
Ascurra,R$ 196978000,24968.6905818228,7889
Atalanta,R$ 99244000,30763.7941723497,3226
Aurora,R$ 210338000,37057.4348132488,5676
Balneário Arroio do Silva,R$ 171556000,13503.0303030303,12705
Balneário Barra do Sul,R$ 185961000,17626.63507109,10550
Balneário Camboriú,R$ 5549599000,40002.2993973993,138732
Balneário Gaivota,R$ 152250000,14239.6184062851,10692
Balneário Piçarras,R$ 939638000,41741.2820398916,22511
Balneário Rincão,R$ 225341000,17926.8894192522,12570
Bandeirante,R$ 61177000,22591.211225997,2708
Barra Bonita,R$ 35314000,20724.1784037559,1704
Barra Velha,R$ 1393275000,48950.3917366406,28463
Bela Vista do Toldo,R$ 149970000,23763.2704801141,6311
Belmonte,R$ 51749000,19145.0240473548,2703
Benedito Novo,R$ 302394000,26235.8146798542,11526
Biguaçu,R$ 1864510000,27639.5683239942,67458
Blumenau,R$ 16958783000,48115.4826079555,352460
Bocaina do Sul,R$ 77865000,22504.3352601156,3460
Bom Jardim da Serra,R$ 99803000,21180.6027164686,4712
Bom Jesus,R$ 100707000,34011.1448834853,2961
Bom Jesus do Oeste,R$ 52851000,24627.6794035415,2146
Bom Retiro,R$ 272609000,27619.959473151,9870
Bombinhas,R$ 655740000,34165.5812014797,19193
Botuverá,R$ 321269000,62153.0276649255,5169
Braço do Norte,R$ 1174452000,35572.2074145869,33016
Braço do Trombudo,R$ 155673000,41870.0914470145,3718
Brunópolis,R$ 81242000,32851.5972503033,2473
Brusque,R$ 6375501000,48408.1683788524,131703
Caçador,R$ 3298867000,42367.5815213901,77863
Caibi,R$ 207599000,33662.8830874007,6167
Calmon,R$ 70125000,20889.1867739053,3357
Camboriú,R$ 1501132000,18570.5519954475,80834
Campo Alegre,R$ 490998000,41005.3449139803,11974
