"Município";"COD_SEC";"saldo_202012";"saldo_202102"
"Abdon Batista";"F";-1;7
"Abdon Batista";"G";NA;-2
"Abdon Batista";"H";NA;-1
"Abdon Batista";"J";NA;3
"Abdon Batista";"K";NA;2
"Abdon Batista";"M";-1;NA
"Abdon Batista";"S";NA;1
"Abelardo Luz";"A";2;5
"Abelardo Luz";"C";15;50
"Abelardo Luz";"D";NA;1
"Abelardo Luz";"E";1;NA
"Abelardo Luz";"F";3;22
"Abelardo Luz";"G";-6;6
"Abelardo Luz";"H";-1;-3
"Abelardo Luz";"I";1;1
"Abelardo Luz";"J";2;-1
"Abelardo Luz";"K";1;-2
"Abelardo Luz";"L";NA;-1
"Abelardo Luz";"M";-2;0
"Abelardo Luz";"N";-1;NA
"Abelardo Luz";"P";-1;-2
"Abelardo Luz";"Q";2;1
"Abelardo Luz";"R";-2;NA
"Abelardo Luz";"S";-1;1
"Agrolândia";"A";-1;1
"Agrolândia";"C";-29;74
"Agrolândia";"F";NA;6
"Agrolândia";"G";-4;7
"Agrolândia";"H";-2;-1
"Agrolândia";"I";NA;4
"Agrolândia";"J";-1;-1
"Agrolândia";"K";NA;-1
"Agrolândia";"M";0;2
"Agrolândia";"N";-2;NA
"Agrolândia";"O";NA;2
"Agrolândia";"Q";-1;2
"Agrolândia";"S";NA;1
"Agronômica";"C";-25;26
"Agronômica";"E";NA;1
"Agronômica";"F";0;1
"Agronômica";"G";1;6
"Agronômica";"H";0;-1
"Agronômica";"I";0;-2
"Agronômica";"J";NA;1
"Agronômica";"K";-1;NA
"Agronômica";"L";NA;2
"Agronômica";"P";NA;0
"Agronômica";"Q";NA;0
"Agronômica";"S";NA;-1
"Água Doce";"A";-62;1
"Água Doce";"C";-1;7
"Água Doce";"D";-1;-4
"Água Doce";"E";-3;0
"Água Doce";"F";-3;1
"Água Doce";"G";5;3
"Água Doce";"H";2;9
"Água Doce";"I";3;-2
"Água Doce";"J";NA;-1
"Água Doce";"L";NA;-1
"Água Doce";"M";NA;-1
"Água Doce";"N";NA;1
"Água Doce";"Q";-1;1
"Água Doce";"S";1;NA
"Águas de Chapecó";"C";-6;12
"Águas de Chapecó";"G";-1;4
"Águas de Chapecó";"H";NA;-1
"Águas de Chapecó";"K";NA;-1
"Águas de Chapecó";"P";NA;1
"Águas de Chapecó";"S";-1;-1
"Águas Frias";"C";-7;-6
"Águas Frias";"F";-1;5
"Águas Frias";"G";5;2
"Águas Frias";"H";-4;2
"Águas Frias";"M";-1;0
"Águas Frias";"O";-1;NA
"Águas Frias";"S";NA;1
"Águas Mornas";"A";NA;0
"Águas Mornas";"B";-1;-1
"Águas Mornas";"C";-1;-2
"Águas Mornas";"F";-5;6
"Águas Mornas";"G";2;10
"Águas Mornas";"H";NA;-1
"Águas Mornas";"I";1;3
"Águas Mornas";"K";3;2
"Águas Mornas";"S";NA;1
"Alfredo Wagner";"A";2;-1
"Alfredo Wagner";"C";-3;3
"Alfredo Wagner";"F";NA;4
"Alfredo Wagner";"G";6;-3
"Alfredo Wagner";"H";-1;1
"Alfredo Wagner";"I";0;3
"Alfredo Wagner";"J";NA;1
"Alfredo Wagner";"K";1;0
"Alfredo Wagner";"M";-1;NA
"Alfredo Wagner";"N";-1;1
"Alfredo Wagner";"Q";1;3
"Alfredo Wagner";"R";NA;-4
"Alfredo Wagner";"S";1;1
"Alto Bela Vista";"C";1;3
"Alto Bela Vista";"F";NA;-1
"Alto Bela Vista";"G";-4;0
"Alto Bela Vista";"K";NA;1
"Alto Bela Vista";"S";-1;NA
"Anchieta";"C";-3;13
"Anchieta";"E";-1;2
"Anchieta";"F";NA;-1
"Anchieta";"G";3;4
"Anchieta";"H";2;3
"Anchieta";"I";0;1
"Anchieta";"M";1;4
"Anchieta";"P";-5;1
"Anchieta";"R";NA;1
"Anchieta";"S";NA;0
"Angelina";"A";-1;NA
"Angelina";"C";-2;2
"Angelina";"E";-1;2
"Angelina";"F";-1;11
"Angelina";"G";1;0
"Angelina";"I";-7;-2
"Angelina";"K";NA;-1
"Angelina";"N";NA;0
"Angelina";"P";1;3
"Angelina";"Q";0;1
"Angelina";"S";0;-1
"Anita Garibaldi";"C";-9;46
"Anita Garibaldi";"F";-1;6
"Anita Garibaldi";"G";-3;7
"Anita Garibaldi";"H";0;0
"Anita Garibaldi";"I";2;NA
"Anita Garibaldi";"J";1;NA
"Anita Garibaldi";"M";-1;NA
"Anita Garibaldi";"N";-1;1
"Anita Garibaldi";"P";NA;2
"Anita Garibaldi";"Q";NA;1
"Anita Garibaldi";"S";NA;1
"Anitápolis";"A";-2;1
"Anitápolis";"C";0;-1
"Anitápolis";"G";0;4
"Anitápolis";"H";NA;-1
"Anitápolis";"I";1;NA
"Anitápolis";"Q";0;2
"Anitápolis";"S";-1;2
"Antônio Carlos";"A";-1;3
"Antônio Carlos";"B";1;1
"Antônio Carlos";"C";9;22
"Antônio Carlos";"F";-3;3
"Antônio Carlos";"G";5;-1
"Antônio Carlos";"H";3;3
"Antônio Carlos";"I";5;2
"Antônio Carlos";"J";NA;1
"Antônio Carlos";"M";1;-1
"Antônio Carlos";"N";-2;1
"Antônio Carlos";"Q";2;1
"Antônio Carlos";"R";0;NA
"Antônio Carlos";"S";1;3
"Apiúna";"A";NA;-1
"Apiúna";"C";-66;70
"Apiúna";"D";NA;-1
"Apiúna";"F";0;2
"Apiúna";"G";-1;9
"Apiúna";"H";1;1
"Apiúna";"I";-1;6
"Apiúna";"K";1;3
"Apiúna";"M";-2;0
"Apiúna";"N";-1;-1
"Apiúna";"O";-1;1
"Apiúna";"P";-1;NA
"Apiúna";"Q";NA;-1
"Apiúna";"S";-1;1
"Arabutã";"A";NA;2
"Arabutã";"C";-1;1
"Arabutã";"F";1;-1
"Arabutã";"G";-3;-1
"Arabutã";"H";0;2
"Arabutã";"I";NA;0
"Arabutã";"N";-1;NA
"Arabutã";"P";1;NA
"Arabutã";"S";1;1
"Araquari";"A";-5;-2
"Araquari";"B";-3;-2
"Araquari";"C";-73;219
"Araquari";"E";3;6
"Araquari";"F";-76;-35
"Araquari";"G";12;39
"Araquari";"H";1;53
"Araquari";"I";-1;-8
"Araquari";"J";-1;2
"Araquari";"L";0;-1
"Araquari";"M";0;3
"Araquari";"N";4;33
"Araquari";"P";-2;5
"Araquari";"Q";-2;5
"Araquari";"R";-1;NA
"Araquari";"S";-8;22
"Araquari";"T";NA;1
"Araranguá";"A";-3;-1
"Araranguá";"B";-2;0
"Araranguá";"C";49;249
"Araranguá";"E";-1;1
"Araranguá";"F";-3;15
"Araranguá";"G";54;32
"Araranguá";"H";31;11
