,Município,IDHM,IDHM_E,IDHM_L,IDHM_R;;;;;,vice_presidencia
0,Abdon Batista,0.694,0.625,0.812,0.66;;;;;,Centro-Oeste
1,Abelardo Luz,0.696,0.578,0.852,0.684;;;;;,Oeste
2,Agrolândia,0.725,0.633,0.827,0.727;;;;;,Alto Vale do Itajaí
3,Agronômica,0.741,0.595,0.884,0.774;;;;;,Alto Vale do Itajaí
4,Água Doce,0.698,0.574,0.82,0.724;;;;;,Centro-Oeste
5,Águas de Chapecó,0.713,0.629,0.811,0.712;;;;;,Oeste
6,Águas Frias,0.745,0.661,0.86,0.728;;;;;,Oeste
7,Águas Mornas,0.723,0.606,0.853,0.731;;;;;,Sudeste
8,Alfredo Wagner,0.668,0.481,0.882,0.702;;;;;,Sudeste
9,Alto Bela Vista,0.755,0.664,0.882,0.734;;;;;,Alto Uruguai Catarinense
10,Anchieta,0.699,0.608,0.8,0.703;;;;;,Extremo Oeste
11,Angelina,0.687,0.581,0.797,0.699;;;;;,Sudeste
12,Anita Garibaldi,0.688,0.592,0.826,0.667;;;;;,Serra Catarinense
13,Anitápolis,0.674,0.524,0.836,0.699;;;;;,Sudeste
14,Antônio Carlos,0.749,0.615,0.89,0.768;;;;;,Sudeste
15,Apiúna,0.708,0.584,0.827,0.735;;;;;,Vale do Itajaí
16,Arabutã,0.733,0.614,0.863,0.744;;;;;,Alto Uruguai Catarinense
17,Araquari,0.703,0.602,0.83,0.696;;;;;,Norte-Nordeste
18,Araranguá,0.76,0.691,0.853,0.745;;;;;,Sul
19,Armazém,0.77,0.698,0.882,0.743;;;;;,Litoral Sul
20,Arroio Trinta,0.764,0.653,0.873,0.781;;;;;,Centro-Norte
21,Arvoredo,0.715,0.61,0.842,0.713;;;;;,Alto Uruguai Catarinense
22,Ascurra,0.742,0.636,0.868,0.739;;;;;,Vale do Itajaí
23,Atalanta,0.733,0.668,0.802,0.736;;;;;,Alto Vale do Itajaí
24,Aurora,0.733,0.606,0.87,0.748;;;;;,Alto Vale do Itajaí
25,Balneário Arroio do Silva,0.746,0.642,0.858,0.753;;;;;,Sul
