,Município,Setor,Escolaridade,Empregados,vice_presidencia
0,Abdon Batista,AGROPECUÁRIA,Fundamental completo,2,Centro-Oeste
1,Abdon Batista,AGROPECUÁRIA,Fundamental incompleto,4,Centro-Oeste
2,Abdon Batista,AGROPECUÁRIA,Medio completo,2,Centro-Oeste
3,Abdon Batista,AGROPECUÁRIA,Superior Completo,1,Centro-Oeste
4,Abdon Batista,COMÉRCIO,Analfabeto,1,Centro-Oeste
5,Abdon Batista,COMÉRCIO,Fundamental completo,6,Centro-Oeste
6,Abdon Batista,COMÉRCIO,Fundamental incompleto,3,Centro-Oeste
7,Abdon Batista,COMÉRCIO,Medio completo,72,Centro-Oeste
8,Abdon Batista,COMÉRCIO,Medio incompleto,8,Centro-Oeste
9,Abdon Batista,COMÉRCIO,Superior Completo,14,Centro-Oeste
10,Abdon Batista,COMÉRCIO,Superior Incompleto,1,Centro-Oeste
11,Abdon Batista,INDÚSTRIA,Fundamental incompleto,6,Centro-Oeste
12,Abdon Batista,INDÚSTRIA,Medio completo,39,Centro-Oeste
13,Abdon Batista,INDÚSTRIA,Medio incompleto,4,Centro-Oeste
14,Abdon Batista,INDÚSTRIA,Superior Completo,7,Centro-Oeste
15,Abdon Batista,INDÚSTRIA,Superior Incompleto,6,Centro-Oeste
16,Abdon Batista,SERVIÇOS,Fundamental completo,16,Centro-Oeste
17,Abdon Batista,SERVIÇOS,Fundamental incompleto,17,Centro-Oeste
18,Abdon Batista,SERVIÇOS,Medio completo,111,Centro-Oeste
19,Abdon Batista,SERVIÇOS,Medio incompleto,6,Centro-Oeste
20,Abdon Batista,SERVIÇOS,Pós-graduação,2,Centro-Oeste
21,Abdon Batista,SERVIÇOS,Superior Completo,116,Centro-Oeste
22,Abdon Batista,SERVIÇOS,Superior Incompleto,34,Centro-Oeste
23,Abdon Batista,TRANSPORTE,Fundamental completo,4,Centro-Oeste
24,Abdon Batista,TRANSPORTE,Fundamental incompleto,2,Centro-Oeste
25,Abdon Batista,TRANSPORTE,Medio completo,12,Centro-Oeste
26,Abdon Batista,TRANSPORTE,Medio incompleto,3,Centro-Oeste
27,Abdon Batista,TRANSPORTE,Superior Completo,1,Centro-Oeste
28,Abelardo Luz,AGROPECUÁRIA,Analfabeto,1,Oeste
29,Abelardo Luz,AGROPECUÁRIA,Fundamental completo,50,Oeste
30,Abelardo Luz,AGROPECUÁRIA,Fundamental incompleto,142,Oeste
31,Abelardo Luz,AGROPECUÁRIA,Medio completo,137,Oeste
32,Abelardo Luz,AGROPECUÁRIA,Medio incompleto,35,Oeste
33,Abelardo Luz,AGROPECUÁRIA,Pós-graduação,1,Oeste
34,Abelardo Luz,AGROPECUÁRIA,Superior Completo,33,Oeste
