,Column1,Município,Setor,Porte,Empresas,Empregados,Unnamed: 5,Fonte dos dados: RAIS (2019),vice_presidencia
0,0,Abdon Batista,AGROPECUÁRIA,Micro,4,9,0,0,Centro-Oeste
1,1,Abdon Batista,COMÉRCIO,Micro,38,78,0,0,Centro-Oeste
2,2,Abdon Batista,COMÉRCIO,Pequena,2,23,0,0,Centro-Oeste
3,3,Abdon Batista,INDÚSTRIA,Micro,13,34,0,0,Centro-Oeste
4,4,Abdon Batista,INDÚSTRIA,Pequena,1,27,0,0,Centro-Oeste
5,5,Abdon Batista,SERVIÇOS,Grande,1,199,0,0,Centro-Oeste
6,6,Abdon Batista,SERVIÇOS,Micro,22,46,0,0,Centro-Oeste
7,7,Abdon Batista,SERVIÇOS,Pequena,1,54,0,0,Centro-Oeste
8,8,Abdon Batista,TRANSPORTE,Micro,3,8,0,0,Centro-Oeste
9,9,Abdon Batista,TRANSPORTE,Pequena,1,14,0,0,Centro-Oeste
10,10,Abelardo Luz,AGROPECUÁRIA,Micro,101,130,0,0,Oeste
11,11,Abelardo Luz,AGROPECUÁRIA,Média,1,65,0,0,Oeste
12,12,Abelardo Luz,AGROPECUÁRIA,Pequena,4,73,0,0,Oeste
13,13,Abelardo Luz,COMÉRCIO,Micro,145,305,0,0,Oeste
14,14,Abelardo Luz,COMÉRCIO,Média,2,139,0,0,Oeste
15,15,Abelardo Luz,COMÉRCIO,Pequena,11,196,0,0,Oeste
16,16,Abelardo Luz,INDÚSTRIA,Grande,1,1461,0,0,Oeste
17,17,Abelardo Luz,INDÚSTRIA,Micro,54,209,0,0,Oeste
18,18,Abelardo Luz,INDÚSTRIA,Pequena,5,164,0,0,Oeste
19,19,Abelardo Luz,SERVIÇOS,Grande,1,590,0,0,Oeste
20,20,Abelardo Luz,SERVIÇOS,Micro,103,226,0,0,Oeste
21,21,Abelardo Luz,SERVIÇOS,Média,1,92,0,0,Oeste
22,22,Abelardo Luz,SERVIÇOS,Pequena,12,168,0,0,Oeste
23,23,Abelardo Luz,TRANSPORTE,Micro,49,48,0,0,Oeste
24,24,Abelardo Luz,TRANSPORTE,Pequena,2,29,0,0,Oeste
25,25,Agrolândia,AGROPECUÁRIA,Micro,16,33,0,0,Alto Vale do Itajaí
26,26,Agrolândia,COMÉRCIO,Micro,98,206,0,0,Alto Vale do Itajaí
27,27,Agrolândia,COMÉRCIO,Pequena,4,111,0,0,Alto Vale do Itajaí
28,28,Agrolândia,INDÚSTRIA,Micro,114,534,0,0,Alto Vale do Itajaí
29,29,Agrolândia,INDÚSTRIA,Média,2,448,0,0,Alto Vale do Itajaí
30,30,Agrolândia,INDÚSTRIA,Pequena,21,882,0,0,Alto Vale do Itajaí
31,31,Agrolândia,SERVIÇOS,Grande,1,268,0,0,Alto Vale do Itajaí
32,32,Agrolândia,SERVIÇOS,Micro,65,134,0,0,Alto Vale do Itajaí
33,33,Agrolândia,SERVIÇOS,Pequena,5,94,0,0,Alto Vale do Itajaí
34,34,Agrolândia,TRANSPORTE,Micro,12,24,0,0,Alto Vale do Itajaí
35,35,Agrolândia,TRANSPORTE,Pequena,1,19,0,0,Alto Vale do Itajaí
36,36,Agronômica,AGROPECUÁRIA,Micro,5,3,0,0,Alto Vale do Itajaí
37,37,Agronômica,COMÉRCIO,Micro,47,109,0,0,Alto Vale do Itajaí
38,38,Agronômica,COMÉRCIO,Pequena,5,98,0,0,Alto Vale do Itajaí
39,39,Agronômica,INDÚSTRIA,Micro,50,166,0,0,Alto Vale do Itajaí
40,40,Agronômica,INDÚSTRIA,Média,1,237,0,0,Alto Vale do Itajaí
41,41,Agronômica,INDÚSTRIA,Pequena,3,91,0,0,Alto Vale do Itajaí
42,42,Agronômica,SERVIÇOS,Grande,1,162,0,0,Alto Vale do Itajaí
43,43,Agronômica,SERVIÇOS,Micro,38,78,0,0,Alto Vale do Itajaí
44,44,Agronômica,SERVIÇOS,Pequena,2,25,0,0,Alto Vale do Itajaí
45,45,Agronômica,TRANSPORTE,Micro,14,17,0,0,Alto Vale do Itajaí
46,46,Agronômica,TRANSPORTE,Pequena,2,28,0,0,Alto Vale do Itajaí
47,47,Alfredo Wagner,AGROPECUÁRIA,Micro,24,29,0,0,Sudeste
48,48,Alfredo Wagner,AGROPECUÁRIA,Pequena,1,10,0,0,Sudeste
49,49,Alfredo Wagner,COMÉRCIO,Micro,135,245,0,0,Sudeste
50,50,Alfredo Wagner,COMÉRCIO,Pequena,12,167,0,0,Sudeste
51,51,Alfredo Wagner,INDÚSTRIA,Micro,32,143,0,0,Sudeste
52,52,Alfredo Wagner,SERVIÇOS,Grande,1,280,0,0,Sudeste
53,53,Alfredo Wagner,SERVIÇOS,Micro,73,126,0,0,Sudeste
54,54,Alfredo Wagner,SERVIÇOS,Pequena,3,70,0,0,Sudeste
55,55,Alfredo Wagner,TRANSPORTE,Micro,6,18,0,0,Sudeste
56,56,Alto Bela Vista,AGROPECUÁRIA,Micro,4,11,0,0,Alto Uruguai Catarinense
57,57,Alto Bela Vista,COMÉRCIO,Micro,16,46,0,0,Alto Uruguai Catarinense
58,58,Alto Bela Vista,INDÚSTRIA,Micro,7,34,0,0,Alto Uruguai Catarinense
59,59,Alto Bela Vista,INDÚSTRIA,Pequena,2,71,0,0,Alto Uruguai Catarinense
60,60,Alto Bela Vista,SERVIÇOS,Grande,1,152,0,0,Alto Uruguai Catarinense
61,61,Alto Bela Vista,SERVIÇOS,Micro,9,14,0,0,Alto Uruguai Catarinense
62,62,Alto Bela Vista,TRANSPORTE,Micro,8,16,0,0,Alto Uruguai Catarinense
63,63,Anchieta,AGROPECUÁRIA,Micro,11,17,0,0,Extremo Oeste
64,64,Anchieta,AGROPECUÁRIA,Pequena,1,10,0,0,Extremo Oeste
65,65,Anchieta,COMÉRCIO,Micro,54,93,0,0,Extremo Oeste
66,66,Anchieta,COMÉRCIO,Pequena,3,54,0,0,Extremo Oeste
67,67,Anchieta,INDÚSTRIA,Micro,36,136,0,0,Extremo Oeste
68,68,Anchieta,INDÚSTRIA,Pequena,5,288,0,0,Extremo Oeste
