,Município,COD_SEC,saldo_202012,saldo_202102,vice_presidencia
0,Abdon Batista,F,-1.0,7.0,Centro-Oeste
1,Abdon Batista,G,,-2.0,Centro-Oeste
2,Abdon Batista,H,,-1.0,Centro-Oeste
3,Abdon Batista,J,,3.0,Centro-Oeste
4,Abdon Batista,K,,2.0,Centro-Oeste
5,Abdon Batista,M,-1.0,,Centro-Oeste
6,Abdon Batista,S,,1.0,Centro-Oeste
7,Abelardo Luz,A,2.0,5.0,Oeste
8,Abelardo Luz,C,15.0,50.0,Oeste
9,Abelardo Luz,D,,1.0,Oeste
10,Abelardo Luz,E,1.0,,Oeste
11,Abelardo Luz,F,3.0,22.0,Oeste
12,Abelardo Luz,G,-6.0,6.0,Oeste
13,Abelardo Luz,H,-1.0,-3.0,Oeste
14,Abelardo Luz,I,1.0,1.0,Oeste
15,Abelardo Luz,J,2.0,-1.0,Oeste
16,Abelardo Luz,K,1.0,-2.0,Oeste
17,Abelardo Luz,L,,-1.0,Oeste
18,Abelardo Luz,M,-2.0,0.0,Oeste
19,Abelardo Luz,N,-1.0,,Oeste
20,Abelardo Luz,P,-1.0,-2.0,Oeste
21,Abelardo Luz,Q,2.0,1.0,Oeste
22,Abelardo Luz,R,-2.0,,Oeste
23,Abelardo Luz,S,-1.0,1.0,Oeste
24,Agrolândia,A,-1.0,1.0,Alto Vale do Itajaí
25,Agrolândia,C,-29.0,74.0,Alto Vale do Itajaí
26,Agrolândia,F,,6.0,Alto Vale do Itajaí
27,Agrolândia,G,-4.0,7.0,Alto Vale do Itajaí
28,Agrolândia,H,-2.0,-1.0,Alto Vale do Itajaí
29,Agrolândia,I,,4.0,Alto Vale do Itajaí
30,Agrolândia,J,-1.0,-1.0,Alto Vale do Itajaí
31,Agrolândia,K,,-1.0,Alto Vale do Itajaí
32,Agrolândia,M,0.0,2.0,Alto Vale do Itajaí
33,Agrolândia,N,-2.0,,Alto Vale do Itajaí
34,Agrolândia,O,,2.0,Alto Vale do Itajaí
35,Agrolândia,Q,-1.0,2.0,Alto Vale do Itajaí
36,Agrolândia,S,,1.0,Alto Vale do Itajaí
37,Agronômica,C,-25.0,26.0,Alto Vale do Itajaí
38,Agronômica,E,,1.0,Alto Vale do Itajaí
39,Agronômica,F,0.0,1.0,Alto Vale do Itajaí
40,Agronômica,G,1.0,6.0,Alto Vale do Itajaí
41,Agronômica,H,0.0,-1.0,Alto Vale do Itajaí
42,Agronômica,I,0.0,-2.0,Alto Vale do Itajaí
43,Agronômica,J,,1.0,Alto Vale do Itajaí
44,Agronômica,K,-1.0,,Alto Vale do Itajaí
45,Agronômica,L,,2.0,Alto Vale do Itajaí
46,Agronômica,P,,0.0,Alto Vale do Itajaí
47,Agronômica,Q,,0.0,Alto Vale do Itajaí
48,Agronômica,S,,-1.0,Alto Vale do Itajaí
49,Água Doce,A,-62.0,1.0,Centro-Oeste
50,Água Doce,C,-1.0,7.0,Centro-Oeste
51,Água Doce,D,-1.0,-4.0,Centro-Oeste
52,Água Doce,E,-3.0,0.0,Centro-Oeste
